Sheet: Condition-Kit Mapping

Dr. FACT — Condition → Kit Mapping  |  Based on Clinical Rules |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Question | User Answer | Condition Interpreted | Condition Interpreted | Current Kit (AI Logic) | Funnel | Clinical Notes | ✏ Correction (fill if wrong) | What are the root cause  | Why the recommended product Kit 1 | Why the recommended product Kit 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q8 — Medical | Any chronic condition | Metabolic stress |  | PRO FACT META B + PRO IMMUNE GOLD | Meta B Funnel |  | PRO FACT META B + PRO IMMUNE GOLD +PHENOTYPE INFLAMMATION | Chronic conditions can create ongoing metabolic stress in the body, where energy and nutrients are constantly diverted toward managing the condition. This can disrupt normal hair growth cycles, weaken follicles, and lead to gradual hair thinning or shedding over time. | Pro Fact Meta B is designed to support a sluggish metabolism by improving energy production, balancing hormones, and enhancing nutrient utilization for overall metabolic health it also supports immune function and helps regulate underlying inflammation by improving cellular energy and metabolic efficiency, creating a more balanced internal environment for better recovery and resilience.,  | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Autoimmune disease | Auto-immune inflammation |  | NEW-M2/F2 + PRO IMMUNE GOLD PLUS | Inflammation Funnel |  | PRO FACT META B + PRO IMMUNE GOLD +PHENOTYPE INFLAMMATION | Binding of ROS to intra cellular proteins alters the immine signature making them antigens and triggering auto immune response. Slowing down of cellular metabolism and ROS promote inflammation. | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q9 — Hormonal | Thyroid (Hypo/Hyper) | Thyroid-related |  | PRO FACT META B THYROID | PRO FACT META B THYROID | PRO FACT META B THYROID | PRO FACT META B THYROID | Thyroid-related hair fall occurs when hypo or hyperthyroidism disrupts hormonal balance and metabolism, affecting the hair growth cycle and leading to diffuse thinning and increased shedding. | Pro Fact Metathyroid is prescribed to help regulate thyroid function, support hormonal balance, and improve metabolism. By stabilizing these internal processes, it helps normalize the hair growth cycle, reduce excessive shedding, and support healthier hair regrowth over time. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| PCOS / PCOD | PCOS-related |  | PRO FACT META B + PCOS | Meta B PCOS | Female | if  PCOS/PCOD is selected - PCOS-1 ; if PCOS/PCOD  = OBSEITY is selected then - PRO FACT META B + PCOS 1  | PCOS-related hair fall occurs due to hormonal imbalance, especially increased androgen activity, which can weaken hair follicles and lead to thinning or excessive shedding. | PCOS-1: Helps regulate hormonal imbalance, support ovarian health, and reduce androgen impact on hair follicles. | If PCOS with Obesity — Pro Fact Meta B + PCOS-1: This combination also addresses underlying metabolic dysfunction, improves insulin sensitivity, and supports overall hormonal balance for better hair health outcomes. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Endometriosis | Hormonal inflammation |  | FH Well 3 Kit + Phenotype Inflammation | Inflammation Funnel | Female | FH Well 3 Kit + Phenotype Inflammation | Endometriosis involves hormonal imbalance along with chronic inflammation, which can disrupt the hair growth cycle and contribute to increased hair fall. | FH Well 3 Kit helps support hormonal balance while reducing underlying inflammation, creating a more stable internal environment for improved hair health and reduced shedding. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Pregnancy | No kit — info only |  | HEALTHY - 9 (support) | HEALTHY - 9 (support) | HEALTHY - 9 (support) | HEALTHY - 9 (support) | Pregnancy increases the demand for all nutrients, increased metabolic rate consumes more nutrients and generstes more by products of metabolic waste including ROS.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Post delivery / Feeding | Post-natal TE |  | HAIR FACT TE GOLD / VEG + POST-M | TE Gold Funnel | Female | HAIR FACT TE GOLD / VEG + LACTIHEALTH | Post delivery phase has a abrupt loss of support to celular metabolism, with increased demand for healing, tissue repair and secretion of milk to feedthe baby. The hair growth is arrested and neglected over more important functions thus calling for additional support  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Peri-menopausal | Peri-menopausal TE |  | HAIR FACT PERI MENOPAUSE + TE GOLD | HAIR FACT PERI MENOPAUSE + TE GOLD | HAIR FACT PERI MENOPAUSE + TE GOLD | HAIR FACT PERI MENOPAUSE + TE GOLD | During peri-menopause, fluctuating hormone levels can disrupt the hair growth cycle, pushing more hairs into the shedding phase and leading to temporary increased hair fall. |  | Hair Fact TE Gold kit counters miro inflammation, with antioxidants, anti-inflammatory agents, immunity boosters and essential nutrition supplements which promote hair growth. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Menopausal | Menopausal transition |  | PRO FACT META B MENOPAUSE + PRO IMMUNE GOLD | Meta B Menopause | Female | PRO FACT META B MENOPAUSE + F-AGA GOLD | In menopause, a sustained decline in estrogen levels can lead to reduced hair density, slower growth, and gradual thinning due to changes in hormonal balance and follicle support. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| HRT | Hormonal therapy support |  | PRO IMMUNE GOLD | PRO IMMUNE GOLD | PRO IMMUNE GOLD | PRO IMMUNE GOLD | Hormonal therapy pushes cellular function which creates requirement for more nutrients and better functional support to deliver adequate response and support hair growth  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q10 — Gut | GERD / Acidity | Gut-hair axis disruption |  | PRO IMMUNE GOLD | Pro Immune Funnel |  | PRO FACT GI HEALTH + PRO IMMUNE GOLD | Improper gastric motilty interferes with contact, digestion and absorption of the nutrients creating a low nutrient environment unfavorble to cellular function and growth  | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Bloating / IBS / Leaky gut / Constipation | Gut dysbiosis |  | PRO IMMUNE GOLD | Pro Immune Funnel |  | PRO FACT GI HEALTH + PRO IMMUNE GOLD | Gut microbes provide the missing elements of breakdown for complex foods and complte digestion and asimilation of nutrients. Dysbiosis directly influences cellular metabolism and function.  | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q11 — Deficiency | Iron deficiency / Anaemia | Iron deficiency hair loss |  | IRON UP | Iron Up Funnel |  | IRON UP GOLD + PRO IMMUNE GOLD | Iron deficiency hair loss occurs when low iron levels reduce oxygen supply to hair follicles, weakening them and disrupting the hair growth cycle, leading to increased shedding and poor regrowth. | Pro Fact Iron Up is designed to correct iron deficiency using highly bioavailable iron along with supportive nutrients that enhance absorption and utilization. This helps restore oxygen supply to hair follicles, reduce hair fall, and improve overall energy, hair strength, and recovery. | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Vitamin D3 | Nutritional |  | NA — No kit | NA — No kit | NA — No kit | NA — No kit | Vit D3 is proposed to be recognised as a hormone due to it's importance for multiple effcient cellular metabolic events and organ systems. Vit D3 directly stimulates hair growth from the dermal papilla.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Vitamin B12 | Nutritional |  | NA — No kit | NA — No kit | NA — No kit | NA — No kit | Vit B12 is importsnt for iron metabolism and function of RBCs responsible for oxygen delivery. B12 is a catslyst for cellular functions.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q12 — Diet | Vegetarian / Vegan / Jain | Veg only |  | VEG VARIANTS of all kits | VEG VARIANTS of all kits | VEG VARIANTS of all kits | VEG VARIANTS of all kits | Veg & Vegan diet lead to deficiencies of zinc, magnesium, aminoacids, fat solulbe vitamins A, D, E K. Supplements are essential to balance the nutrients.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Non-vegetarian | Standard |  | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | High protein intake increases urea nitrigenous waste products, makes blood pH acidic, leads to reabsorption of calcium to buffer the acidity and increased calcium excretion through the kidneys. Nutritional balance needs to be restored carefully. Consumption of animal fats is related to higher postprandial release of tesosterone and androgens.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| High protein diet | DHT boost risk |  | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | M-AGA GOLD / F-AGA GOLD bonus | High protein intake increases urea nitrigenous waste products, makes blood pH acidic, leads to reabsorption of calcium to buffer the acidity and increased calcium excretion through the kidneys. Nutritional balance needs to be restored carefully | M-AGA Gold / F-AGA Gold is prescribed to protect follicle health, reduce the impact of inflammation and hormonal sensitivity, and help prevent progressive thinning while improving overall hair quality. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Age Modifier | Above 30 | Higher AGA risk |  | AGA GOLD +1 score | AGA GOLD +1 score | AGA GOLD +1 score | AGA GOLD +1 score | Higher exposure to stress, pollution, sleep disturbances, inclination towards fast foods, smoking, alcohol, disregard for regular care make this age group vulnerable  | M-AGA Gold / F-AGA Gold is prescribed to protect follicle health, reduce the impact of inflammation and hormonal sensitivity, and help prevent progressive thinning while improving overall hair quality. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q13 — Treatment | Any heat/chemical/colour treatment | Hair shaft compromise |  | HAIR FACT HAIR BREAKAGE REPAIR(HBR) always added | HAIR FACT HAIR BREAKAGE REPAIR(HBR) always added | HAIR FACT HAIR BREAKAGE REPAIR(HBR) always added | HAIR FACT HAIR BREAKAGE REPAIR(HBR) always added | Protein, iron, calcium, esential fatty acids and vitamin D deficiency, make the hair sucseptible to breakage   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
